模型,准确率,精确率,召回率,F1分数,AUC,Kappa系数,Brier分数,MCC系数,Top10%累积增益,Top10%提升度,Top20%累积增益,Top20%提升度
Logistic Regression,0.6914,0.7591,0.7455,0.7523,0.738,0.3434,0.2052,0.3435,0.147,1.4695,0.2724,1.362
SVM,0.6937,0.7619,0.7455,0.7536,0.7319,0.349,0.1998,0.3491,0.1362,1.362,0.2724,1.362
Random Forest,0.7905,0.8,0.8889,0.8421,0.8294,0.5336,0.162,0.5402,0.1398,1.3978,0.2867,1.4337
XGBoost,0.7815,0.7955,0.8781,0.8348,0.8534,0.5148,0.1489,0.5203,0.1398,1.3978,0.2903,1.4516
LightGBM,0.8108,0.8155,0.9032,0.8571,0.8525,0.5793,0.1419,0.5859,0.1434,1.4337,0.2867,1.4337
TabPFN,0.8401,0.8467,0.9104,0.8774,0.9217,0.6485,0.1031,0.652,0.1541,1.5412,0.2975,1.4875
